Block,Block_aov,Rep,Line,Ara,Treatment,Treatment2,Time,Red0,White0,Red1,White1,lnR.0.1.,lnW.0.1.,FitnessR.0.1.,FitnessW.0.1.,Fitness,LnFitness
3,3,2,p2,p,Population,Population,0,200,102,210,24,4.65396035,3.158251203,1.473587771,0.678615838,0.678615838,-0.168376009
1,1,2,m4,m,Population,Population,0,44,298,37,476,4.431898465,5.073494554,0.873539612,1.144767777,0.873539612,-0.058717396
2,2,2,m4,m,Population,Population,0,38,355,13,209,3.532533384,4.075386648,0.866797114,1.153672508,0.866797114,-0.062082544
3,3,2,m4,m,Population,Population,0,34,223,16,184,3.851398384,4.412934172,0.872752285,1.145800494,0.872752285,-0.059109005
7,7,2,m5,m,Population,Population,0,101,201,48,476,3.86125068,5.467283132,0.706246702,1.415935816,0.706246702,-0.151043567
2,2,2,m5,m,Population,Population,0,90,313,22,243,3.196402969,4.352028439,0.734462795,1.361539356,0.734462795,-0.134030199
3,3,2,m5,m,Population,Population,0,96,147,19,159,2.985260974,4.683641801,0.637380291,1.568922062,0.637380291,-0.19560137
2,2,2,p5,p,Population,Population,0,363,108,153,49,3.741205273,3.814859257,0.98069287,1.019687234,1.019687234,0.008466982
3,3,2,p5,p,Population,Population,0,238,140,187,41,4.364008129,3.37709983,1.292235453,0.773852782,0.773852782,-0.111341652
4,4,2,p5,p,Population,Population,0,111,73,214,64,5.261616,4.473593828,1.176149691,0.850231911,0.850231911,-0.070462599
1,1,2,m6,m,Population,Population,0,61,194,16,349,3.266885044,5.192383949,0.62916862,1.589399039,0.62916862,-0.201232946
2,2,2,m6,m,Population,Population,0,60,321,6,269,2.302585093,4.428440442,0.519953948,1.923247248,0.519953948,-0.28403512
3,3,2,m6,m,Population,Population,0,115,193,10,221,2.162823151,4.740642699,0.456229944,2.191877176,0.456229944,-0.340816214
1,1,2,m1,m,Mixed-Clones,Clone,0,86,205,19,228,3.095261869,4.711505836,0.656958089,1.522167117,0.656958089,-0.182462336
2,2,2,m1,m,Mixed-Clones,Clone,0,99,348,37,241,3.620968248,4.23776464,0.854452419,1.170340182,0.854452419,-0.068312116
3,3,2,m1,m,Mixed-Clones,Clone,0,83,199,29,175,3.553625408,4.476651335,0.793813309,1.259742044,0.793813309,-0.100281624
1,1,2,p2,p,Mixed-Clones,Clone,0,181,95,280,44,5.041462758,3.835482928,1.314427114,0.760787714,0.760787714,-0.118736509
2,2,2,p2,p,Mixed-Clones,Clone,0,310,71,264,19,4.444546992,3.286929288,1.352188198,0.739542026,0.739542026,-0.131037141
3,3,2,p2,p,Mixed-Clones,Clone,0,243,101,191,14,4.364382171,2.629106999,1.660024553,0.602400728,0.602400728,-0.220114512
1,1,1,m4,m,Mixed-Clones,Clone,0,31,112,10,561,3.473768074,6.21639222,0.558807738,1.789524253,0.558807738,-0.252737589
