Rep,Line,Treatment,Treatment1,Treatment2,meanLnFitness,Time,Generation,meanLnFitnessMixed
1,p5,Mixed-Clones,Mixed,Clone,-0.002302811,75,500,-0.002302811
1,m6,Mixed-Clones,Mixed,Clone,-0.025050984,75,500,-0.025050984
2,m1,Mixed-Clones,Mixed,Clone,-0.061684363,75,500,-0.061684363
2,p2,Mixed-Clones,Mixed,Clone,-0.070210775,75,500,-0.070210775
2,m4,Mixed-Clones,Mixed,Clone,-0.035154209,75,500,-0.035154209
2,m5,Mixed-Clones,Mixed,Clone,-0.019147321,75,500,-0.019147321
2,p5,Mixed-Clones,Mixed,Clone,0.059563624,75,500,0.059563624
2,m6,Mixed-Clones,Mixed,Clone,-0.032072983,75,500,-0.032072983
3,m1,Mixed-Clones,Mixed,Clone,0.039474973,75,500,0.039474973
3,p2,Mixed-Clones,Mixed,Clone,-0.077822041,75,500,-0.077822041
3,m4,Mixed-Clones,Mixed,Clone,-0.110188024,75,500,-0.110188024
3,m5,Mixed-Clones,Mixed,Clone,-0.006269442,75,500,-0.006269442
3,p5,Mixed-Clones,Mixed,Clone,-0.019223088,75,500,-0.019223088
3,m6,Mixed-Clones,Mixed,Clone,0.025467693,75,500,0.025467693
1,m1,Mixed-Clones,Mixed,Clone,0.058763855,300,2000,0.058763855
1,p2,Mixed-Clones,Mixed,Clone,0.008718468,300,2000,0.008718468
1,m4,Mixed-Clones,Mixed,Clone,-0.052559505,300,2000,-0.052559505
1,m5,Mixed-Clones,Mixed,Clone,-0.009563576,300,2000,-0.009563576
1,p5,Mixed-Clones,Mixed,Clone,0.050019645,300,2000,0.050019645
1,m6,Mixed-Clones,Mixed,Clone,0.014060313,300,2000,0.014060313
2,m1,Mixed-Clones,Mixed,Clone,0.067440343,300,2000,0.067440343
2,p2,Mixed-Clones,Mixed,Clone,0.032091794,300,2000,0.032091794
2,m4,Mixed-Clones,Mixed,Clone,-0.006583206,300,2000,-0.006583206
2,m5,Mixed-Clones,Mixed,Clone,0.014300804,300,2000,0.014300804
2,p5,Mixed-Clones,Mixed,Clone,0.061015108,300,2000,0.061015108
2,m6,Mixed-Clones,Mixed,Clone,0.094763056,300,2000,0.094763056
3,m1,Mixed-Clones,Mixed,Clone,-0.042655803,300,2000,-0.042655803
3,p2,Mixed-Clones,Mixed,Clone,0.010343403,300,2000,0.010343403
3,m4,Mixed-Clones,Mixed,Clone,0.015269713,300,2000,0.015269713
3,m5,Mixed-Clones,Mixed,Clone,-0.006439755,300,2000,-0.006439755
3,p5,Mixed-Clones,Mixed,Clone,0.028269281,300,2000,0.028269281
3,m6,Mixed-Clones,Mixed,Clone,-0.140146565,300,2000,-0.140146565
1,m1,Mixed-Populations,Mixed,Population,-0.212801525,0,0,-0.157555163
1,p2,Mixed-Populations,Mixed,Population,-0.09845451,0,0,-0.157555163
1,m4,Mixed-Populations,Mixed,Population,-0.182978826,0,0,-0.157555163
1,m5,Mixed-Populations,Mixed,Population,-0.158337613,0,0,-0.157555163
1,p5,Mixed-Populations,Mixed,Population,-0.039814272,0,0,-0.157555163
1,m6,Mixed-Populations,Mixed,Population,-0.315905493,0,0,-0.157555163
2,m1,Mixed-Populations,Mixed,Population,-0.201287951,0,0,-0.157555163
2,p2,Mixed-Populations,Mixed,Population,-0.09781896,0,0,-0.157555163
2,m4,Mixed-Populations,Mixed,Population,-0.115520725,0,0,-0.157555163
2,m5,Mixed-Populations,Mixed,Population,-0.140443935,0,0,-0.157555163
2,p5,Mixed-Populations,Mixed,Population,-0.030086399,0,0,-0.157555163
2,m6,Mixed-Populations,Mixed,Population,-0.249182665,0,0,-0.157555163
3,m1,Mixed-Populations,Mixed,Population,-0.163240635,0,0,-0.157555163
3,p2,Mixed-Populations,Mixed,Population,-0.103765578,0,0,-0.157555163
3,m4,Mixed-Populations,Mixed,Population,-0.219127459,0,0,-0.157555163
3,m5,Mixed-Populations,Mixed,Population,-0.228317973,0,0,-0.157555163
3,p5,Mixed-Populations,Mixed,Population,-0.044465204,0,0,-0.157555163
3,m6,Mixed-Populations,Mixed,Population,-0.234443218,0,0,-0.157555163
1,m1,Mixed-Populations,Mixed,Population,0.028165336,75,500,0.028165336
1,p2,Mixed-Populations,Mixed,Population,0.026286587,75,500,0.026286587
1,m4,Mixed-Populations,Mixed,Population,0.002996618,75,500,0.002996618
1,m5,Mixed-Populations,Mixed,Population,-0.035429573,75,500,-0.035429573
1,p5,Mixed-Populations,Mixed,Population,-0.019428714,75,500,-0.019428714
1,m6,Mixed-Populations,Mixed,Population,-0.023234961,75,500,-0.023234961
2,m1,Mixed-Populations,Mixed,Population,-0.031951859,75,500,-0.031951859
2,p2,Mixed-Populations,Mixed,Population,-0.00819667,75,500,-0.00819667
2,m4,Mixed-Populations,Mixed,Population,0.041019671,75,500,0.041019671
2,m5,Mixed-Populations,Mixed,Population,-0.038256968,75,500,-0.038256968
2,p5,Mixed-Populations,Mixed,Population,-0.010079863,75,500,-0.010079863
2,m6,Mixed-Populations,Mixed,Population,-0.042614992,75,500,-0.042614992
3,m1,Mixed-Populations,Mixed,Population,0.035413418,75,500,0.035413418
3,p2,Mixed-Populations,Mixed,Population,0.000981433,75,500,0.000981433
3,m4,Mixed-Populations,Mixed,Population,0.032441758,75,500,0.032441758
3,m5,Mixed-Populations,Mixed,Population,0.00622342,75,500,0.00622342
3,p5,Mixed-Populations,Mixed,Population,-0.023442457,75,500,-0.023442457
3,m6,Mixed-Populations,Mixed,Population,-0.025307018,75,500,-0.025307018
1,m1,Mixed-Populations,Mixed,Population,0.043157394,300,2000,0.043157394
1,p2,Mixed-Populations,Mixed,Population,0.046633477,300,2000,0.046633477
1,m4,Mixed-Populations,Mixed,Population,0.001399259,300,2000,0.001399259
1,m5,Mixed-Populations,Mixed,Population,-0.021320335,300,2000,-0.021320335
1,p5,Mixed-Populations,Mixed,Population,0.063122615,300,2000,0.063122615
1,m6,Mixed-Populations,Mixed,Population,-0.047524629,300,2000,-0.047524629
2,m1,Mixed-Populations,Mixed,Population,-0.015848098,300,2000,-0.015848098
2,p2,Mixed-Populations,Mixed,Population,0.070329379,300,2000,0.070329379
2,m4,Mixed-Populations,Mixed,Population,0.018794462,300,2000,0.018794462
2,m5,Mixed-Populations,Mixed,Population,-0.032790527,300,2000,-0.032790527
2,p5,Mixed-Populations,Mixed,Population,0.019424951,300,2000,0.019424951
2,m6,Mixed-Populations,Mixed,Population,-0.040797346,300,2000,-0.040797346
3,m1,Mixed-Populations,Mixed,Population,0.029172498,300,2000,0.029172498
3,p2,Mixed-Populations,Mixed,Population,0.093164109,300,2000,0.093164109
3,m4,Mixed-Populations,Mixed,Population,-0.00222805,300,2000,-0.00222805
3,m5,Mixed-Populations,Mixed,Population,0.059727871,300,2000,0.059727871
3,p5,Mixed-Populations,Mixed,Population,-0.0366108,300,2000,-0.0366108
3,m6,Mixed-Populations,Mixed,Population,0.038006213,300,2000,0.038006213
1,m1,Population,Single,Population,-0.230872339,0,0,-0.230872339
1,p2,Population,Single,Population,-0.096198574,0,0,-0.096198574
